Order ID,Returned
US-2023-138758,Yes
US-2023-140452,Yes
US-2023-143287,Yes
US-2023-150574,Yes
US-2023-164406,Yes
US-2023-164763,Yes
US-2024-110569,Yes
US-2024-126214,Yes
US-2024-128090,Yes
US-2024-136749,Yes
US-2024-136987,Yes
US-2024-137008,Yes
US-2024-160857,Yes
US-2025-105578,Yes
US-2025-108455,Yes
US-2025-111528,Yes
US-2025-114230,Yes
US-2025-114293,Yes
US-2025-115952,Yes
US-2025-119046,Yes
US-2025-127425,Yes
US-2025-131149,Yes
US-2025-135720,Yes
US-2025-140172,Yes
US-2025-144057,Yes
US-2025-148957,Yes
US-2025-151827,Yes
US-2025-152051,Yes
US-2025-156986,Yes
US-2025-157490,Yes
US-2026-103247,Yes
US-2026-103828,Yes
US-2026-105046,Yes
US-2026-107888,Yes
US-2026-109253,Yes
US-2026-118087,Yes
US-2026-123834,Yes
US-2026-136679,Yes
US-2026-147886,Yes
US-2026-147998,Yes
US-2026-151127,Yes
US-2026-155999,Yes
